date_local,game_id,away_team,home_team,closing_spread_team,closing_spread,closing_total,model_spread_team,model_spread,model_total,pick_ATS,pick_OU,EV_ATS,EV_OU,final_away,final_home,final_margin,final_total,ATS_result,OU_result,CLV_spread,CLV_total,error_tags,notes,focus_team_flag,EV_ATS_bucket,EV_OU_bucket,model_version,ATS_result_calc,OU_result_calc,model_total_v42,CLV_total_v42,pick_OU_v42,OU_result_v42,status,closing_spread_team_new,closing_spread_new,closing_total_new,EV_OU_v42,EV_OU_bucket_v42,model_margin_v42S,ATS_pick_team_v42S,ATS_EV_v42S,ATS_pick_result_v42S,model_total_v43,OU_prob_over_v43,pick_OU_v43,EV_OU_v43,EV_OU_bucket_v43,CLV_total_v43,OU_result_v43,summary_type,sum_OU_W,sum_OU_L,sum_OU_P,sum_OU_Trials,sum_OU_Hit_%,sum_ATS_W,sum_ATS_L,sum_ATS_P,sum_ATS_Trials,sum_ATS_Hit_%,source_ATS_metric,snapshot_type,snapshot_time,line_timestamp,line_sources,fav_team,spread_current,total_current,injuries_home,injuries_away,starters_home,starters_away,line_moves,T_model_pick,T_model_prob_over,S_model_pick,S_model_cover_prob,snapshot_id,tip_time_et,tip_time_tpe,model_params,game_date_et,game_date_tpe,run_timestamp
2025-11-01,2025-11-01-HOU-BOS,HOU,BOS,HOU,-5.5,225.5,HOU,-5.92,224.68,HOU -5.5,Under,-2.57,3.25,128.0,101.0,-27.0,229.0,W,L,-0.42,-0.82,"ou_loss,3pt_tail",Rockets shooting surge flipped total over expectation.,HOU,EV<+2%,+2%≤EV<+6%,v4.1_full_adaptive_auto,W,L,221.01,-4.49,Under,L,,,,,17.69,EV≥+6%,-5.61,BOS,0.72,L,223.93,0.4722,Under,5.57,+2%≤EV<+6%,-1.57,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31,2025-11-01,2025-11-09 11:25:25.218522
2025-11-01,2025-11-01-DAL-DET,DAL,DET,DET,-7.5,227.5,DET,-7.36,228.07,,,0.83,2.26,110.0,122.0,12.0,232.0,W,L,0.14,0.57,,,,EV<+2%,+2%≤EV<+6%,v4.1_full_adaptive_auto,W,L,218.32,-9.18,Under,L,,,,,35.25,EV≥+6%,7.65,DET,1.04,W,224.29,0.4367,Under,12.67,EV≥+6%,-3.21,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31,2025-11-01,2025-11-09 11:25:25.218522
2025-11-01,2025-11-01-GSW-IND,GSW,IND,GSW,-10.5,230.5,GSW,-10.24,231.28,IND +10.5,Under,1.55,-3.11,109.0,114.0,5.0,223.0,W,W,0.26,0.78,,Model leaned Pacers + points; low total stance held up.,GSW,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,L,W,225.41,-5.09,Under,W,,,,,20.01,EV≥+6%,-10.71,IND,1.29,W,228.72,0.4678,Under,6.44,EV≥+6%,-1.78,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31,2025-11-01,2025-11-09 11:25:25.218522
2025-11-01,2025-11-01-SAC-MIL,SAC,MIL,MIL,-6.5,232.5,MIL,-6.03,232.42,,,2.86,-0.31,135.0,133.0,-2.0,268.0,L,L,0.47,-0.08,,,,+2%≤EV<+6%,EV<+2%,v4.1_full_adaptive_auto,L,L,228.67,-3.83,Under,L,,,,,15.13,EV≥+6%,6.63,MIL,0.48,L,231.16,0.4735,Under,5.29,+2%≤EV<+6%,-1.34,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31,2025-11-01,2025-11-09 11:25:25.218522
2025-11-01,2025-11-01-ORL-WAS,ORL,WAS,ORL,-9.5,233.5,ORL,-9.29,233.81,,,1.26,1.25,125.0,94.0,-31.0,219.0,W,L,0.21,0.31,,,,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,W,L,223.69,-9.81,Under,W,,,,,37.48,EV≥+6%,-9.69,WAS,1.06,L,230.07,0.4373,Under,12.55,EV≥+6%,-3.43,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31,2025-11-01,2025-11-09 11:25:25.218522
2025-11-02,2025-11-02-PHI-BRK,PHI,BRK,PHI,-5.5,232.5,PHI,-6.05,231.83,,,-3.33,-2.67,129.0,105.0,-24.0,234.0,W,L,-0.55,-0.67,,,,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,W,L,229.12,-3.38,Under,L,,,,,13.37,EV≥+6%,-5.61,BRK,0.52,L,231.32,0.4791,Under,4.18,+2%≤EV<+6%,-1.18,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-01,2025-11-02,2025-11-09 11:25:25.218522
2025-11-02,2025-11-02-UTA-CHO,UTA,CHO,UTA,-1.5,232.5,UTA,-1.41,232.31,,,0.56,-0.77,103.0,126.0,23.0,229.0,L,L,0.09,-0.19,,,,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,L,L,225.55,-6.95,Under,W,,,,,27.07,EV≥+6%,-1.53,UTA,0.14,L,230.07,0.4528,Under,9.44,EV≥+6%,-2.43,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-01,2025-11-02,2025-11-09 11:25:25.218522
2025-11-02,2025-11-02-ATL-CLE,ATL,CLE,CLE,-6.0,231.0,CLE,-6.18,231.13,,,-1.09,0.52,109.0,117.0,8.0,226.0,W,L,-0.18,0.13,,,,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,W,L,228.66,-2.34,Under,W,,,,,9.28,EV≥+6%,6.12,CLE,0.81,W,230.18,0.4814,Under,3.72,+2%≤EV<+6%,-0.82,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-01,2025-11-02,2025-11-09 11:25:25.218522
2025-11-02,2025-11-02-MIA-LAL,MIA,LAL,LAL,-4.5,233.5,LAL,-3.91,232.87,LAL -4.5,Under,3.59,2.49,120.0,130.0,10.0,250.0,W,L,0.59,-0.63,"ou_loss,pace_anomaly,ft_inflation",Higher pace + FT volume drove total over.,LAL,+2%≤EV<+6%,+2%≤EV<+6%,v4.1_full_adaptive_auto,W,L,228.22,-5.28,Under,L,,,,,20.74,EV≥+6%,4.59,LAL,0.1,W,231.65,0.4662,Under,6.76,EV≥+6%,-1.85,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-01,2025-11-02,2025-11-09 11:25:25.218522
2025-11-02,2025-11-02-CHI-NYK,CHI,NYK,NYK,-7.0,235.5,NYK,-6.48,236.36,,,3.16,3.4,116.0,128.0,12.0,244.0,W,L,0.52,0.86,,,,+2%≤EV<+6%,+2%≤EV<+6%,v4.1_full_adaptive_auto,W,L,230.55,-4.95,Under,L,,,,,19.47,EV≥+6%,7.14,NYK,0.57,W,233.77,0.4687,Under,6.26,EV≥+6%,-1.73,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-01,2025-11-02,2025-11-09 11:25:25.218522
