date_local,away_team,home_team,closing_spread_team,closing_spread,closing_total,model_total_v43,OU_prob_over_v43,pick_OU_v43,EV_OU_v43,EV_OU_bucket_v43,OU_result_v43,CLV_total_v43,model_total_v42,pick_OU_v42,OU_result_v42,EV_OU_v42,EV_OU_bucket_v42,model_margin_v42S,ATS_pick_team_v42S,ATS_EV_v42S,ATS_pick_result_v42S,ATS_result,final_away,final_home,status,snapshot_type,snapshot_time,line_timestamp,line_sources,fav_team,spread_current,total_current,injuries_home,injuries_away,starters_home,starters_away,line_moves,T_model_pick,T_model_prob_over,S_model_pick,S_model_cover_prob,snapshot_id,tip_time_et,tip_time_tpe,model_params,game_date_et,game_date_tpe,run_timestamp
2025-11-03,DAL,HOU,HOU,-12.5,226.5,223.12,0.438,Under,12.4,EV≥+6%,W,-3.38,216.85,Under,W,36.92,EV≥+6%,12.75,HOU,1.23,L,W,102.0,110.0,,,,,,,,,,,,,,,,,,,,,,2025-11-02,2025-11-03,2025-11-08 16:35:13.813229
2025-11-03,MIL,IND,MIL,-6.5,235.5,233.56,0.4633,Under,7.35,EV≥+6%,W,-1.94,229.96,Under,W,21.74,EV≥+6%,-6.63,IND,0.76,W,L,117.0,115.0,,,,,,,,,,,,,,,,,,,,,,2025-11-02,2025-11-03,2025-11-08 16:35:13.813229
2025-11-03,MIA,LAC,LAC,-7.5,227.5,226.95,0.4892,Under,2.16,+2%≤EV<+6%,L,-0.55,225.92,Under,L,6.27,EV≥+6%,7.65,LAC,0.81,L,L,120.0,119.0,,,,,,,,,,,,,,,,,,,,,,2025-11-02,2025-11-03,2025-11-08 16:35:13.813229
2025-11-03,DET,MEM,DET,-4.5,235.5,232.73,0.4469,Under,10.63,EV≥+6%,W,-2.77,227.58,Under,W,30.67,EV≥+6%,-4.59,MEM,0.71,L,W,114.0,106.0,,,,,,,,,,,,,,,,,,,,,,2025-11-02,2025-11-03,2025-11-08 16:35:13.813229
2025-11-03,WAS,NYK,NYK,-12.5,234.5,231.53,0.4423,Under,11.54,EV≥+6%,W,-2.97,226.0,Under,W,32.79,EV≥+6%,12.75,NYK,1.55,W,W,102.0,119.0,,,,,,,,,,,,,,,,,,,,,,2025-11-02,2025-11-03,2025-11-08 16:35:13.813229
2025-11-03,LAL,POR,POR,-9.5,228.5,227.45,0.4808,Under,3.85,+2%≤EV<+6%,L,-1.05,225.5,Under,L,11.88,EV≥+6%,9.69,POR,1.21,L,W,123.0,115.0,,,,,,,,,,,,,,,,,,,,,,2025-11-02,2025-11-03,2025-11-08 16:35:13.813229
2025-11-04,ORL,ATL,,,,,,,,,,,,,,,,,,,,,112.0,127.0,,,,,,,,,,,,,,,,,,,,,,2025-11-03,2025-11-04,2025-11-08 16:35:13.813229
2025-11-04,PHI,CHI,,,,,,,,,,,,,,,,,,,,,111.0,113.0,,,,,,,,,,,,,,,,,,,,,,2025-11-03,2025-11-04,2025-11-08 16:35:13.813229
2025-11-04,PHO,GSW,,,,,,,,,,,,,,,,,,,,,107.0,118.0,,,,,,,,,,,,,,,,,,,,,,2025-11-03,2025-11-04,2025-11-08 16:35:13.813229
2025-11-04,PHX,GSW,GSW,-10.5,234.5,232.13,0.4529,Under,9.42,EV≥+6%,W,-2.37,227.73,Under,W,26.4,EV≥+6%,10.71,GSW,0.8,W,L,107.0,118.0,,,,,,,,,,,,,,,,,,,,,,2025-11-03,2025-11-04,2025-11-08 16:35:13.813229
